,YEAR,State_Abrv,COUNTY_Abrv,MME_Total,STATE,treatment_status,COUNTY,TOTAL_POP,_merge,MME_SHIPPED
350,2006,GA,LOWNDES,19503797.54336309,Georgia,Control,Lowndes County,100592,both,193.89014577066854
351,2006,GA,LUMPKIN,3244082.569999977,Georgia,Control,Lumpkin County,27300,both,118.83086336996253
352,2006,GA,MACON,3507058.279124993,Georgia,Control,Macon County,14364,both,244.15610408834536
353,2006,GA,MADISON,8037403.2643624935,Georgia,Control,Madison County,27347,both,293.9043867467179
354,2006,GA,MARION,439365.14250000037,Georgia,Control,Marion County,8089,both,54.316373161083
355,2006,GA,MCDUFFIE,6269448.067499985,Georgia,Control,McDuffie County,21564,both,290.73678665831875
356,2006,GA,MCINTOSH,4216496.6174999885,Georgia,Control,McIntosh County,12950,both,325.59819440154354
357,2006,GA,MERIWETHER,3007127.919999991,Georgia,Control,Meriwether County,22694,both,132.50761963514546
358,2006,GA,MILLER,1104382.162500001,Georgia,Control,Miller County,6104,both,180.92761508846675
359,2006,GA,MITCHELL,3091747.274999985,Georgia,Control,Mitchell County,23579,both,131.12291763857607
360,2006,GA,MONROE,5680544.412499962,Georgia,Control,Monroe County,24924,both,227.91463699646775
361,2006,GA,MONTGOMERY,342366.85799999995,Georgia,Control,Montgomery County,9165,both,37.35590376432078
362,2006,GA,MORGAN,3131258.186499979,Georgia,Control,Morgan County,17316,both,180.8303411007149
363,2006,GA,MURRAY,8772052.013224991,Georgia,Control,Murray County,40173,both,218.35690670910788
364,2006,GA,MUSCOGEE,45567906.15134765,Georgia,Control,Muscogee County,189464,both,240.5095751770661
365,2006,GA,NEWTON,15173728.52826276,Georgia,Control,Newton County,90647,both,167.39360958733064
366,2006,GA,OCONEE,3201630.4779999894,Georgia,Control,Oconee County,29720,both,107.72646292059184
367,2006,GA,OGLETHORPE,1241770.8744999995,Georgia,Control,Oglethorpe County,14030,both,88.50825905203132
